Campaign name,Subject,Sent,Opened,Clicked,Created time,Sent time,Sender name,Delivered,Unopened,Bounced,Unsubscribes,Forwards,Marked as spam,Click rate,Open rate,Unsubscribe percentage,Bounced percentage,Click per open ratio
SOC_Image_Campaign_5,24*7 Threat Detection & Response - SNS SOC Service,36,21,0,"Aug 10, 2023 05:24 PM","Nov 08, 2023 05:02 PM",,36,15,0,0,0,0,0,58.3,0,0,0
SNS SOC Service_ September_1,Take your Cybersecurity Strategy to the Next Level with SNS SOC Services !,2842,210,8,"Aug 22, 2023 11:14 AM","Sep 05, 2023 09:08 AM",Anita,2842,2632,0,0,0,0,0.3,7.4,0,0,3.8
Cybersecurity Awareness Training _ 1st Sep 23,Educate Your Employees - Cybersecurity Awareness Trainings !,5877,484,17,"Aug 29, 2023 11:14 AM","Sep 01, 2023 09:02 AM",Anita ,5877,5393,0,2,0,0,0.3,8.2,0,0,3.5
SNS SOC Service_ September_12-Sep,SNS SOC Services - Defense against Dark Cyberattacks !,4869,368,10,"Aug 30, 2023 02:52 PM","Sep 12, 2023 10:10 AM",Anita,4869,4501,0,2,0,0,0.2,7.6,0,0,2.7
SNS SOC Service_ September_26-Sep,SOC Service - Smart Cybersecurity Value Proposition for Businesses !,6144,488,21,"Aug 31, 2023 01:58 PM","Sep 26, 2023 09:02 AM",Anita,6144,5656,0,1,0,0,0.3,7.9,0,0,4.3
Cybersecurity Awareness Training _ 8th Sep 23,Educate Your Employees - Cybersecurity Awareness Trainings !,2910,267,4,"Sep 08, 2023 06:06 PM","Sep 08, 2023 06:16 PM",Anita ,2910,2643,0,1,0,0,0.1,9.2,0,0,1.5
Cybersecurity Awareness Training _19th Sep 23,Does Your Organization Take Cybersecurity Seriously?,4867,358,12,"Sep 19, 2023 10:37 AM","Sep 19, 2023 11:26 AM",Anita ,4867,4509,0,3,0,0,0.2,7.4,0.1,0,3.4
Cybersecurity Awareness Training _19th Sep 23,Does Your Organization Take Cybersecurity Seriously ?,3,1,0,"Sep 21, 2023 06:19 PM","Oct 03, 2023 08:27 AM",Lalendra ,3,2,0,0,0,0,0,33.3,0,0,0
Cybersecurity Awareness Training _3rd OCT 23,Does Your Organization Take Cybersecurity Seriously ?,4033,266,9,"Oct 03, 2023 08:22 AM","Oct 03, 2023 10:07 AM",Anita ,4033,3767,0,2,0,0,0.2,6.6,0,0,3.4
Cybersecurity Awareness Training _3rd OCT 23_CTO_CIO,Does Your Organization Take Cybersecurity Seriously ?,1103,123,4,"Oct 03, 2023 11:47 AM","Oct 03, 2023 11:52 AM",Anita ,1103,980,0,2,0,0,0.4,11.2,0.2,0,3.3
